popularity,title
111,The Shawshank Redemption
262,Schindler's List
503,The Godfather: Part II
"137
        ",The Dark Knight
553,"The Good, the Bad and the Ugly"
600,12 Angry Men
314,The Lord of the Rings: The Return of the King
126,The Godfather
80,Pulp Fiction
304,Fight Club
165,The Lord of the Rings: The Fellowship of the Ring
458,One Flew Over the Cuckoo's Nest
573,The Lord of the Rings: The Two Towers
157,Inception
192,Forrest Gump
705,Star Wars: Episode V - The Empire Strikes Back
374,Coco
"1,045",Casino
"1,532",Cool Hand Luke
362,Kill Bill: Vol. 1
461,The Big Lebowski
393,Shutter Island
769,The Deer Hunter
"3,858",Nausicaä of the Valley of the Wind
901,Platoon
"3,233",Song of the Sea
"3,204",Gangs of Wasseypur
771,The Exorcist
"2,385",Dog Day Afternoon
,PK
"4,755",Three Colors: Red
"1,073",Beauty and the Beast
664,Pirates of the Caribbean: The Curse of the Black Pearl
"2,439",Castle in the Sky
653,The Best Years of Our Lives
"2,993","Paris, Texas"
655,Jaws
59,Guardians of the Galaxy
"2,796",Before Sunset
691,The Help
"1,063",Groundhog Day
"1,917",In the Mood for Love
,La Haine
697,The Handmaiden
821,The Wizard of Oz
515,Donnie Darko
"2,943",Gandhi
"3,460",The Maltese Falcon
538,The Terminator
"4,734",The Grapes of Wrath
719,"Monsters, Inc."
"1,034",Dead Poets Society
,Barry Lyndon
"2,113",Butch Cassidy and the Sundance Kid
221,The Princess Bride
647,Rocky
259,Harry Potter and the Deathly Hallows: Part 2
785,Catch Me If You Can
"3,381",Amores Perros
305,Logan
566,Rush
,The 400 Blows
177,Mad Max: Fury Road
"484
        ",Prisoners
401,Spotlight
,Hachi: A Dog's Tale
"1,232",Million Dollar Baby
"2,049",Before Sunrise
"2,181",Ben-Hur
"2,690",Hotel Rwanda
396,12 Years a Slave
"3,143",Memories of Murder
"2,022",Life of Brian
,Persona
505,Stand by Me
"3,848",It Happened One Night
806,Into the Wild
693,Network
380,The Grand Budapest Hotel
670,The Truman Show
,Stalker
,Neon Genesis Evangelion: The End of Evangelion
"2,310",In the Name of the Father
227,Gone Girl
446,How to Train Your Dragon
"1,649",Wild Tales
175,Jurassic Park
244,Hacksaw Ridge
,Mary and Max
431,Gran Torino
,Rebecca
546,Fargo
,Come and See
810,The Thing
"1,108",Finding Nemo
640,Trainspotting
455,Gone with the Wind
682,The Sixth Sense
729,There Will Be Blood
"4,150",Dial M for Murder
308,No Country for Old Men
422,Blade Runner
"1,145",Warrior
58,Room
156,The Wolf of Wall Street
"2,116",The Elephant Man
716,V for Vendetta
489,Inside Out
"3,253",On the Waterfront
193,"Three Billboards Outside Ebbing, Missouri"
,Andhadhun
"1,249","Lock, Stock and Two Smoking Barrels"
908,A Beautiful Mind
"3,177",The Bridge on the River Kwai
,The Seventh Seal
"1,508",Howl's Moving Castle
"1,836",The Secret in Their Eyes
"2,064",My Neighbor Totoro
"3,884",Ran
"3,412",The Third Man
"1,581",Chinatown
512,Pan's Labyrinth
"1,832",The Great Escape
,Children of Heaven
12,Green Book
"1,373",Incendies
"1,643",Raging Bull
395,Heat
"4,992",The Treasure of the Sierra Madre
421,Die Hard
"1,167",Unforgiven
"1,598",Some Like It Hot
559,Downfall
480,Batman Begins
"3,243",All About Eve
,Rashomon
903,Up
"2,207",A Separation
904,Indiana Jones and the Last Crusade
"1,024",L.A. Confidential
"1,137",Monty Python and the Holy Grail
"1,949",Metropolis
612,Scarface
"2,411",For a Few Dollars More
,The Apartment
529,Snatch
"1,166",The Hunt
"2,209",The Sting
342,Toy Story 3
377,Good Will Hunting
"1,268",To Kill a Mockingbird
,Bicycle Thieves
681,Full Metal Jacket
452,Taxi Driver
140,Inglourious Basterds
"1,171",Amélie
440,Singin' in the Rain
256,A Clockwork Orange
"3,682",Double Indemnity
267,Toy Story
333,Eternal Sunshine of the Spotless Mind
"1,860",Lawrence of Arabia
,Taare Zameen Par
371,Requiem for a Dream
"1,441",3 Idiots
,Dangal
699,2001: A Space Odyssey
,M
"1,006",Amadeus
799,Your Name.
"2,199",North by Northwest
190,Reservoir Dogs
509,Star Wars: Episode VI - Return of the Jedi
"1,748",Vertigo
309,Braveheart
"1,401",Das Boot
"1,450",Citizen Kane
,Once Upon a Time in America
271,American Beauty
238,The Dark Knight Rises
428,Aliens
754,Oldboy
,Witness for the Prosecution
961,WALL·E
"1,694",Princess Mononoke
162,Django Unchained
303,The Shining
,Paths of Glory
"1,422",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
,Sunset Boulevard
897,The Lives of Others
,The Great Dictator
16,Avengers: Infinity War
"2,453",Cinema Paradiso
,Grave of the Fireflies
307,The Prestige
636,Memento
261,Gladiator
279,Alien
291,Apocalypse Now
541,Raiders of the Lost Ark
"1,175",Rear Window
299,The Lion King
385,Whiplash
536,Terminator 2: Judgment Day
7,Spider-Man: Into the Spider-Verse
265,Back to the Future
215,The Departed
687,The Intouchables
747,The Pianist
"4,369",Modern Times
988,Once Upon a Time in the West
"1,074",Casablanca
,City Lights
502,American History X
522,Psycho
154,Interstellar
278,Léon: The Professional
205,The Green Mile
506,The Usual Suspects
340,Saving Private Ryan
596,Spirited Away
"1,883",It's a Wonderful Life
945,Life Is Beautiful
757,City of God
241,The Silence of the Lambs
316,Star Wars: Episode IV - A New Hope
270,Se7en
"1,491",Seven Samurai
181,The Matrix
240,Goodfellas
