title,artists
Sucker,Jonas Brothers
 03:01 ,Jonas Brothers
I Can't Get Enough,Jonas Brothers
 02:38 ,Jonas Brothers
Taki Taki,Selena Gomez
 03:33 ,J Balvin
Here With Me,Tainy
 02:36 ,Benny Blanco
7 rings,Selena Gomez
 02:58 ,J Balvin
No Sleep,Tainy
 03:27 ,Benny Blanco
365,Selena Gomez
 03:01 ,J Balvin
Talk,Tainy
 03:17 ,Benny Blanco
Believer,Selena Gomez
 03:39 ,J Balvin
Without Me,Tainy
 03:21 ,Benny Blanco
My Bad,DJ Snake
 02:46 ,Selena Gomez
I Guess I Just Feel Like,Ozuna
 04:45 ,Cardi B
Con Calma,DJ Snake
 03:12 ,Selena Gomez
Sunflower,Ozuna
 02:38 ,Cardi B
MIA (feat. Drake),DJ Snake
 03:30 ,Selena Gomez
"break up with your girlfriend, i'm bored",Ozuna
 03:09 ,Cardi B
Who Do You Love,DJ Snake
 03:46 ,Selena Gomez
Hope,Ozuna
 03:00 ,Cardi B
So Am I,Marshmello
 03:04 ,CHVRCHES
Better,Marshmello
 02:54 ,CHVRCHES
Diamond Heart,Marshmello
 04:00 ,CHVRCHES
Told You So,Marshmello
 02:59 ,CHVRCHES
Please Me,Ariana Grande
 03:20 ,Ariana Grande
This Feeling,Ariana Grande
 03:17 ,Ariana Grande
"thank u, next",Martin Garrix
 03:26 ,Bonn
Different World,Martin Garrix
 03:23 ,Bonn
With You,Martin Garrix
 03:14 ,Bonn
Someone New,Martin Garrix
 02:56 ,Bonn
bury a friend,Zedd
 03:12 ,Katy Perry
Two of Us,Zedd
 03:37 ,Katy Perry
Wow.,Zedd
 02:30 ,Katy Perry
Think About You,Zedd
 03:28 ,Katy Perry
Are You Lonely,Khalid
 02:37 ,Khalid
Throwaway,Khalid
 03:00 ,Khalid
Close To Me,Imagine Dragons
 03:02 ,Lil Wayne
11 Minutes,Imagine Dragons
 03:59 ,Lil Wayne
Bola Rebola,Imagine Dragons
 03:13 ,Lil Wayne
Remind Me,Imagine Dragons
 02:31 ,Lil Wayne
Fire On Fire,Halsey
 04:07 ,Halsey
No New Friends,Halsey
 02:57 ,Halsey
Flux,Khalid
 03:49 ,Khalid
Unstoppable,Khalid
 03:25 ,Khalid
Anxiety,John Mayer
 03:32 ,John Mayer
Contra La Pared,John Mayer
 03:45 ,John Mayer
Bad Liar,Daddy Yankee
 04:20 ,Snow
Arms Around You (feat. Maluma & Swae Lee),Daddy Yankee
 03:18 ,Snow
Shallow,Daddy Yankee
 03:36 ,Snow
Waste It On Me,Daddy Yankee
 03:12 ,Snow
Hey DJ (Remix),Post Malone
 03:09 ,Swae Lee
Dancing With A Stranger,Post Malone
 02:51 ,Swae Lee
